ID,Song Name,Artist,BPM,Language,Mood Target,Stress Level,Pain Relief,Type,Duration,Evidence Based
20,River Flows in You,A R Rahman,87,Tamil,Sleep Aid,Medium,No,Classical,4:04,No
21,Raataan Lambiyan,Arijit Singh,119,Hindi,Sleep Aid,Low,No,Lo-fi,2:06,Partial
22,Perfect,Pharrell Williams,123,Hindi,Sleep Aid,Medium,Yes,Devotional,2:16,No
23,Someone Like You,Imagine Dragons,105,Instrumental,Anxiety Relief,Medium,Yes,Acoustic,4:48,Partial
24,Blinding Lights,Imagine Dragons,94,Instrumental,Depression Support,Low,Yes,Pop,6:25,No
25,Blinding Lights,Post Malone,130,Hindi,Depression Support,High,Yes,Devotional,8:43,No
26,Nuvole Bianche,Yiruma,106,Hindi,Period Pain Relief,Medium,Yes,Devotional,6:23,No
27,Sunflower,Ed Sheeran,152,English,Anxiety Relief,High,Yes,Classical,8:08,No
28,Happy,Coldplay,92,Hindi,Sleep Aid,Low,Yes,Classical,8:52,Partial
29,Kun Faya Kun,Billie Eilish,111,Korean,Sleep Aid,Medium,No,Pop,6:11,No
30,A Sky Full of Stars,Yiruma,106,Instrumental,Period Pain Relief,Medium,Yes,Ambient,5:52,Yes
31,Kun Faya Kun,Billie Eilish,66,Instrumental,Mood Boost,Low,Yes,Devotional,5:57,Partial
32,Lovely,The Weeknd,156,Hindi,Period Pain Relief,Medium,Yes,Lo-fi,8:38,Yes
33,Believer,A R Rahman,101,Hindi,Depression Support,High,Yes,Devotional,2:14,Yes
34,Weightless,Coldplay,62,Instrumental,Mood Boost,High,No,Classical,8:52,Yes
35,Kun Faya Kun,Billie Eilish,91,Hindi,Period Pain Relief,Low,Yes,Lo-fi,6:00,Yes
36,River Flows in You,Pharrell Williams,86,Instrumental,Stress Relief,Medium,Yes,Ambient,2:48,Partial
37,Hallelujah,Imagine Dragons,134,English,Mood Boost,Medium,Yes,Devotional,7:17,Yes
38,Happy,Ludovico Einaudi,116,Tamil,Depression Support,High,Yes,Classical,8:27,No
39,Kun Faya Kun,Lady Gaga,105,Korean,Anxiety Relief,Medium,Yes,Lo-fi,6:02,Partial
40,Raataan Lambiyan,Post Malone,119,Instrumental,Mood Boost,High,No,Classical,5:35,Yes
41,Let It Be,Post Malone,105,English,Period Pain Relief,Low,Yes,Ambient,7:50,Yes
42,Raataan Lambiyan,Ed Sheeran,169,Tamil,Depression Support,Medium,No,Devotional,3:50,Partial
43,Kun Faya Kun,Marconi Union,150,Instrumental,Stress Relief,High,No,Pop,6:40,Partial
44,Shape of You,The Beatles,166,Korean,Period Pain Relief,High,Yes,Devotional,3:26,Partial
45,Nuvole Bianche,Billie Eilish,85,Hindi,Period Pain Relief,High,Yes,Classical,2:33,Partial
46,Tum Hi Ho,Leonard Cohen,114,Korean,Sleep Aid,High,No,Classical,6:26,Partial
47,Weightless,Leonard Cohen,53,English,Mood Boost,Medium,No,Classical,2:07,No
48,A Sky Full of Stars,Leonard Cohen,170,Instrumental,Anxiety Relief,Low,Yes,Lo-fi,7:57,Partial
49,Sunflower,Billie Eilish,94,Instrumental,Period Pain Relief,High,Yes,Lo-fi,4:40,Partial
50,Perfect,Marconi Union,126,Tamil,Anxiety Relief,Low,Yes,Pop,8:11,Yes
51,Shape of You,Marconi Union,63,Korean,Sleep Aid,Low,No,Acoustic,2:02,Yes
52,Nuvole Bianche,Post Malone,129,Korean,Mood Boost,Medium,No,Classical,2:06,Yes
53,Happy,Post Malone,139,Hindi,Depression Support,High,Yes,Classical,7:45,No
54,Someone Like You,Ludovico Einaudi,66,Hindi,Depression Support,Low,Yes,Acoustic,7:52,No
55,Believer,Ludovico Einaudi,127,Instrumental,Depression Support,Medium,Yes,Devotional,6:25,Partial
56,Someone Like You,Ludovico Einaudi,120,Tamil,Sleep Aid,Low,Yes,Classical,2:43,Yes
57,Weightless,Adele,159,Instrumental,Sleep Aid,Low,Yes,Classical,6:10,No
58,Fix You,The Beatles,122,English,Anxiety Relief,Medium,No,Acoustic,4:45,Yes
59,Shallow,Post Malone,70,Instrumental,Stress Relief,High,Yes,Classical,8:09,No
60,Nuvole Bianche,The Weeknd,67,Hindi,Sleep Aid,Medium,No,Classical,4:49,No
61,Happy,The Weeknd,53,Tamil,Depression Support,High,No,Classical,2:29,Yes
62,Believer,Post Malone,118,Hindi,Mood Boost,Low,Yes,Classical,4:00,No
63,Weightless,The Weeknd,113,English,Anxiety Relief,Low,Yes,Ambient,3:59,Partial
64,Happy,Coldplay,137,Tamil,Mood Boost,Low,Yes,Acoustic,6:54,Yes
65,Weightless,The Beatles,80,Instrumental,Sleep Aid,Low,No,Classical,4:52,Yes
66,Fix You,Post Malone,167,English,Mood Boost,Low,Yes,Lo-fi,7:27,Yes
67,Tum Hi Ho,Ed Sheeran,113,English,Stress Relief,Low,Yes,Lo-fi,4:05,Partial
68,Shallow,Adele,146,English,Sleep Aid,High,Yes,Ambient,7:29,Partial
69,River Flows in You,Ed Sheeran,91,Instrumental,Period Pain Relief,Low,Yes,Devotional,8:57,Yes
70,Nuvole Bianche,A R Rahman,58,Tamil,Period Pain Relief,High,Yes,Pop,2:19,No
71,Shallow,Post Malone,154,English,Stress Relief,Medium,Yes,Pop,7:21,No
72,Hallelujah,Billie Eilish,142,Tamil,Period Pain Relief,High,Yes,Classical,8:09,Partial
73,Weightless,Imagine Dragons,128,English,Stress Relief,Medium,Yes,Classical,3:14,No
74,Shape of You,Adele,106,Instrumental,Period Pain Relief,Medium,Yes,Pop,3:04,Yes
75,Perfect,The Weeknd,118,English,Mood Boost,Medium,Yes,Acoustic,4:45,Partial
76,River Flows in You,The Weeknd,155,Tamil,Stress Relief,High,No,Pop,3:25,Yes
77,Kun Faya Kun,Ed Sheeran,135,Instrumental,Stress Relief,High,Yes,Acoustic,3:04,No
78,Happy,Billie Eilish,132,English,Anxiety Relief,Medium,Yes,Pop,4:42,Yes
79,Believer,Lady Gaga,120,Tamil,Anxiety Relief,Low,Yes,Ambient,4:06,Partial
80,A Sky Full of Stars,Arijit Singh,150,Instrumental,Period Pain Relief,Medium,Yes,Devotional,3:03,Partial
81,Tum Hi Ho,The Beatles,127,Korean,Depression Support,Low,Yes,Devotional,7:44,Yes
82,Shallow,Marconi Union,69,Tamil,Mood Boost,High,No,Acoustic,7:56,Yes
83,Believer,Ed Sheeran,150,Hindi,Stress Relief,Medium,Yes,Lo-fi,2:36,No
84,Blinding Lights,The Beatles,58,Hindi,Anxiety Relief,Medium,Yes,Ambient,5:54,Partial
85,Sunflower,Yiruma,80,Hindi,Depression Support,Medium,No,Pop,4:11,No
86,Sunflower,Marconi Union,163,Korean,Depression Support,Medium,Yes,Classical,3:00,No
87,Shape of You,Lady Gaga,122,English,Stress Relief,Medium,Yes,Pop,6:42,Yes
88,Ocean Eyes,Ludovico Einaudi,113,Hindi,Sleep Aid,Low,Yes,Devotional,3:40,Partial
89,Lovely,Imagine Dragons,132,English,Anxiety Relief,Low,Yes,Pop,7:32,No
90,Kun Faya Kun,The Beatles,131,Instrumental,Anxiety Relief,Medium,No,Devotional,4:24,Partial
91,Weightless,Billie Eilish,150,Tamil,Mood Boost,High,Yes,Ambient,5:46,No
92,Nuvole Bianche,The Weeknd,97,English,Period Pain Relief,Medium,Yes,Pop,7:34,Partial
93,Tum Hi Ho,The Beatles,168,English,Period Pain Relief,Low,Yes,Pop,4:33,No
94,Weightless,Leonard Cohen,166,Korean,Sleep Aid,Low,No,Ambient,5:48,Partial
95,Raataan Lambiyan,Imagine Dragons,64,Tamil,Period Pain Relief,Medium,Yes,Pop,7:47,Yes
96,River Flows in You,Leonard Cohen,70,Hindi,Mood Boost,Medium,Yes,Acoustic,5:00,Yes
97,Weightless,Pharrell Williams,149,Instrumental,Sleep Aid,High,No,Pop,5:19,Partial
98,Ocean Eyes,Adele,103,Hindi,Mood Boost,High,No,Lo-fi,7:55,Partial
99,A Sky Full of Stars,Yiruma,101,English,Stress Relief,Low,No,Pop,5:05,No
100,Ocean Eyes,Marconi Union,109,Tamil,Anxiety Relief,High,Yes,Ambient,7:03,Yes
101,Perfect,Imagine Dragons,104,English,Period Pain Relief,High,Yes,Acoustic,6:51,Yes
102,A Sky Full of Stars,Imagine Dragons,90,Korean,Sleep Aid,Low,No,Acoustic,4:26,Partial
103,Weightless,Post Malone,89,Hindi,Anxiety Relief,Medium,Yes,Lo-fi,5:57,No
104,Ocean Eyes,A R Rahman,62,Instrumental,Anxiety Relief,Medium,Yes,Lo-fi,4:28,No
105,Perfect,Ludovico Einaudi,133,English,Depression Support,Low,No,Classical,4:44,Partial
106,Sunflower,Post Malone,142,Instrumental,Mood Boost,Low,Yes,Lo-fi,8:19,Partial
107,Raataan Lambiyan,Coldplay,83,Korean,Period Pain Relief,Medium,Yes,Acoustic,8:48,Yes
108,A Sky Full of Stars,A R Rahman,69,Tamil,Mood Boost,Low,No,Pop,6:58,No
109,Someone Like You,The Weeknd,120,English,Sleep Aid,Low,No,Ambient,6:26,No
110,Sunflower,Adele,132,English,Anxiety Relief,Medium,Yes,Classical,2:31,No
111,Blinding Lights,Post Malone,74,Korean,Depression Support,Low,Yes,Pop,6:46,Yes
112,Tum Hi Ho,Ed Sheeran,98,Hindi,Depression Support,Low,No,Devotional,6:01,Yes
113,Let It Be,Ludovico Einaudi,81,English,Depression Support,Low,Yes,Ambient,5:25,Partial
114,Sunflower,Imagine Dragons,91,Instrumental,Sleep Aid,High,No,Ambient,3:36,Yes
115,Happy,Arijit Singh,116,Instrumental,Stress Relief,Low,Yes,Lo-fi,8:55,Partial
116,Tum Hi Ho,Lady Gaga,62,Hindi,Anxiety Relief,Low,No,Acoustic,3:03,Partial
117,Kun Faya Kun,The Beatles,101,Korean,Stress Relief,High,No,Lo-fi,7:33,Yes
118,Shape of You,Post Malone,157,Instrumental,Stress Relief,Low,Yes,Ambient,5:32,No
119,Perfect,Post Malone,160,English,Period Pain Relief,Medium,Yes,Acoustic,6:13,Partial
120,Ocean Eyes,The Weeknd,137,Tamil,Anxiety Relief,Low,Yes,Ambient,5:09,Partial
121,Let It Be,Arijit Singh,137,English,Sleep Aid,Low,Yes,Classical,6:09,No
122,Kun Faya Kun,Marconi Union,125,English,Period Pain Relief,Low,Yes,Ambient,2:05,Yes
123,River Flows in You,The Weeknd,75,Korean,Sleep Aid,Low,No,Pop,6:25,Partial
124,A Sky Full of Stars,The Beatles,67,Instrumental,Period Pain Relief,Low,Yes,Lo-fi,6:15,Partial
125,Lovely,A R Rahman,51,English,Period Pain Relief,High,Yes,Acoustic,2:54,No
126,Let It Be,Marconi Union,113,Korean,Stress Relief,Medium,No,Ambient,6:38,No
127,Lovely,Marconi Union,86,Korean,Anxiety Relief,High,Yes,Classical,2:08,Partial
128,Nuvole Bianche,Coldplay,153,Hindi,Period Pain Relief,Low,Yes,Pop,4:45,Yes
129,Raataan Lambiyan,Ed Sheeran,58,Hindi,Anxiety Relief,Medium,Yes,Lo-fi,8:14,Yes
130,Let It Be,Arijit Singh,131,Korean,Mood Boost,Low,No,Devotional,3:41,Partial
131,Tum Hi Ho,Post Malone,108,Tamil,Stress Relief,Medium,Yes,Acoustic,7:55,Partial
132,Lovely,Coldplay,95,Tamil,Stress Relief,Medium,No,Lo-fi,2:52,Partial
133,Lovely,Billie Eilish,93,Hindi,Stress Relief,Low,No,Lo-fi,4:19,Yes
134,Shape of You,Post Malone,166,Hindi,Mood Boost,Low,Yes,Ambient,3:00,Yes
135,Believer,The Beatles,82,English,Anxiety Relief,High,Yes,Pop,3:25,Partial
136,Sunflower,Pharrell Williams,50,Hindi,Stress Relief,High,Yes,Acoustic,5:23,Yes
137,Tum Hi Ho,A R Rahman,98,Korean,Depression Support,High,No,Ambient,3:22,Yes
138,Let It Be,The Beatles,86,Instrumental,Anxiety Relief,Medium,Yes,Acoustic,3:28,No
139,Fix You,The Beatles,60,Instrumental,Mood Boost,Low,Yes,Acoustic,3:37,Partial
140,Let It Be,Coldplay,122,Instrumental,Period Pain Relief,Medium,Yes,Ambient,2:43,No
141,Raataan Lambiyan,Pharrell Williams,107,Tamil,Mood Boost,High,Yes,Lo-fi,7:10,No
142,Weightless,Billie Eilish,147,Hindi,Mood Boost,Low,No,Pop,3:35,Partial
143,Weightless,Adele,120,Korean,Stress Relief,Low,Yes,Lo-fi,6:30,Partial
144,Shape of You,Adele,122,Korean,Depression Support,Low,Yes,Devotional,6:59,Yes
145,Believer,Pharrell Williams,55,Hindi,Anxiety Relief,Low,No,Lo-fi,6:14,No
146,Sunflower,Yiruma,69,Tamil,Depression Support,High,Yes,Classical,6:31,No
147,Blinding Lights,Imagine Dragons,118,Instrumental,Period Pain Relief,Medium,Yes,Pop,6:53,Partial
148,Ocean Eyes,The Beatles,68,Tamil,Mood Boost,Medium,Yes,Ambient,4:08,Yes
149,A Sky Full of Stars,The Beatles,87,English,Period Pain Relief,Medium,Yes,Lo-fi,6:34,Yes
150,Tum Hi Ho,Yiruma,56,Instrumental,Period Pain Relief,High,Yes,Lo-fi,8:38,Yes
151,Someone Like You,The Weeknd,95,Instrumental,Period Pain Relief,Low,Yes,Devotional,8:45,Partial
152,Sunflower,Marconi Union,92,Instrumental,Stress Relief,Medium,Yes,Lo-fi,7:40,No
153,Tum Hi Ho,The Weeknd,165,Korean,Anxiety Relief,High,No,Acoustic,6:46,Partial
154,Perfect,A R Rahman,161,Korean,Sleep Aid,Medium,Yes,Classical,4:14,Partial
155,Ocean Eyes,Marconi Union,154,Korean,Depression Support,Medium,Yes,Classical,6:48,Partial
156,Nuvole Bianche,The Beatles,115,Korean,Depression Support,Low,Yes,Ambient,2:35,No
157,Lovely,Ed Sheeran,96,Hindi,Mood Boost,Low,No,Devotional,8:16,Partial
158,Someone Like You,The Beatles,89,Hindi,Depression Support,Medium,Yes,Classical,5:04,Yes
159,A Sky Full of Stars,Ludovico Einaudi,120,Instrumental,Period Pain Relief,Low,Yes,Classical,3:07,No
160,Weightless,Lady Gaga,141,English,Anxiety Relief,High,Yes,Pop,8:39,No
161,Lovely,Lady Gaga,97,English,Stress Relief,Low,No,Ambient,7:02,No
162,Hallelujah,Pharrell Williams,153,Tamil,Period Pain Relief,High,Yes,Classical,2:37,Yes
163,Nuvole Bianche,Ludovico Einaudi,69,Hindi,Anxiety Relief,Medium,Yes,Devotional,2:47,No
164,Believer,Adele,88,English,Depression Support,Low,Yes,Acoustic,5:36,Yes
165,Raataan Lambiyan,Leonard Cohen,75,Instrumental,Sleep Aid,Low,No,Lo-fi,2:04,Yes
166,Let It Be,Pharrell Williams,96,English,Anxiety Relief,High,Yes,Acoustic,4:47,Yes
167,Tum Hi Ho,Leonard Cohen,87,English,Mood Boost,Low,No,Ambient,6:36,Partial
168,Fix You,Leonard Cohen,131,English,Stress Relief,Medium,No,Devotional,3:41,Partial
169,Tum Hi Ho,A R Rahman,53,Instrumental,Sleep Aid,Low,No,Classical,3:23,No
170,Believer,Yiruma,164,Hindi,Period Pain Relief,Low,Yes,Classical,8:16,Partial
171,Fix You,Adele,55,Tamil,Mood Boost,Low,Yes,Acoustic,8:28,No
172,Weightless,Ludovico Einaudi,160,Hindi,Stress Relief,Medium,No,Lo-fi,4:16,Yes
173,Blinding Lights,The Beatles,71,Tamil,Sleep Aid,Low,No,Ambient,4:31,Partial
174,Believer,Yiruma,148,English,Sleep Aid,Low,Yes,Classical,8:35,No
175,Nuvole Bianche,Post Malone,60,Hindi,Period Pain Relief,Low,Yes,Acoustic,5:58,No
176,Lovely,Billie Eilish,133,Instrumental,Anxiety Relief,Medium,No,Devotional,4:40,No
177,Perfect,Lady Gaga,87,Instrumental,Anxiety Relief,High,Yes,Pop,3:15,Yes
178,Raataan Lambiyan,Pharrell Williams,66,Tamil,Mood Boost,Low,Yes,Lo-fi,3:15,Partial
179,Believer,Lady Gaga,155,Tamil,Stress Relief,High,No,Acoustic,7:23,Partial
180,Let It Be,Adele,125,English,Anxiety Relief,Medium,No,Ambient,4:59,Yes
181,Ocean Eyes,Yiruma,163,Tamil,Anxiety Relief,High,Yes,Ambient,8:50,Yes
182,Shape of You,Coldplay,164,English,Sleep Aid,Low,Yes,Lo-fi,3:42,Yes
183,Fix You,Post Malone,106,Hindi,Period Pain Relief,Low,Yes,Classical,4:18,Partial
184,A Sky Full of Stars,Coldplay,170,English,Sleep Aid,Low,Yes,Lo-fi,3:50,No
185,River Flows in You,Arijit Singh,136,Korean,Period Pain Relief,Low,Yes,Pop,6:44,No
186,Perfect,Ed Sheeran,51,Hindi,Period Pain Relief,Medium,Yes,Ambient,7:02,No
187,Lovely,Pharrell Williams,58,Tamil,Mood Boost,Medium,No,Acoustic,8:33,Partial
188,Perfect,Ludovico Einaudi,81,Hindi,Anxiety Relief,High,No,Ambient,6:33,No
189,Nuvole Bianche,A R Rahman,51,Korean,Stress Relief,Low,Yes,Ambient,6:13,Partial
190,Shallow,Yiruma,97,Instrumental,Depression Support,High,Yes,Devotional,5:02,No
191,Tum Hi Ho,Imagine Dragons,54,English,Anxiety Relief,Low,Yes,Devotional,2:13,Yes
192,Shape of You,Imagine Dragons,162,Hindi,Anxiety Relief,Medium,Yes,Lo-fi,7:28,Yes
193,A Sky Full of Stars,Post Malone,83,English,Sleep Aid,Low,Yes,Devotional,7:30,Partial
194,Perfect,Imagine Dragons,145,Tamil,Anxiety Relief,High,Yes,Ambient,3:00,Yes
195,Someone Like You,Lady Gaga,125,English,Sleep Aid,High,Yes,Lo-fi,6:29,Yes
196,Let It Be,Pharrell Williams,114,Tamil,Depression Support,High,Yes,Classical,3:12,Yes
197,Tum Hi Ho,Adele,170,Hindi,Depression Support,Medium,No,Classical,6:43,No
198,Raataan Lambiyan,Coldplay,146,Instrumental,Period Pain Relief,High,Yes,Lo-fi,2:34,Partial
199,Shape of You,Ludovico Einaudi,121,Korean,Depression Support,Medium,No,Lo-fi,6:12,Partial
200,Lovely,Imagine Dragons,73,English,Period Pain Relief,High,Yes,Devotional,4:10,No
201,Blinding Lights,Yiruma,93,Instrumental,Anxiety Relief,Medium,Yes,Acoustic,6:03,No
202,River Flows in You,Ludovico Einaudi,118,Hindi,Mood Boost,Medium,No,Devotional,2:52,Yes
203,Perfect,Leonard Cohen,115,English,Sleep Aid,Low,Yes,Acoustic,8:56,No
204,Blinding Lights,Pharrell Williams,149,Korean,Depression Support,Low,No,Lo-fi,7:32,Yes
205,Raataan Lambiyan,Lady Gaga,105,Instrumental,Depression Support,Low,Yes,Ambient,8:38,No
206,Tum Hi Ho,The Beatles,152,English,Mood Boost,High,Yes,Devotional,5:14,Partial
207,Let It Be,Post Malone,111,English,Mood Boost,High,No,Acoustic,4:01,No
208,Fix You,Pharrell Williams,79,Korean,Mood Boost,Medium,Yes,Pop,5:37,Yes
209,Believer,Pharrell Williams,68,Korean,Depression Support,High,No,Pop,2:08,Yes
210,River Flows in You,Coldplay,118,Instrumental,Depression Support,Medium,No,Ambient,8:38,No
211,Kun Faya Kun,The Beatles,122,Hindi,Sleep Aid,Medium,Yes,Classical,6:57,Partial
212,Raataan Lambiyan,Pharrell Williams,98,Hindi,Sleep Aid,Medium,Yes,Pop,4:55,No
213,Fix You,Ludovico Einaudi,109,English,Period Pain Relief,High,Yes,Classical,8:01,No
214,Ocean Eyes,Leonard Cohen,161,Hindi,Mood Boost,Low,No,Acoustic,8:30,Partial
215,Raataan Lambiyan,Ludovico Einaudi,141,Tamil,Sleep Aid,Low,No,Pop,8:17,Yes
216,Fix You,Yiruma,170,Korean,Sleep Aid,Medium,No,Lo-fi,6:56,Partial
217,Believer,Billie Eilish,157,Korean,Anxiety Relief,High,Yes,Ambient,6:30,Yes
218,Sunflower,Arijit Singh,138,Tamil,Sleep Aid,High,No,Classical,5:07,No
219,Fix You,Marconi Union,131,Hindi,Sleep Aid,Low,No,Classical,5:49,Yes
220,Shallow,Billie Eilish,84,Hindi,Sleep Aid,High,No,Pop,7:45,No
221,River Flows in You,A R Rahman,104,Hindi,Anxiety Relief,High,Yes,Acoustic,3:58,Partial
222,Perfect,A R Rahman,99,Instrumental,Mood Boost,High,Yes,Lo-fi,3:22,Partial
223,Fix You,Leonard Cohen,132,Instrumental,Period Pain Relief,High,Yes,Lo-fi,2:23,No
224,Nuvole Bianche,Coldplay,132,Tamil,Period Pain Relief,High,Yes,Classical,7:29,Partial
225,River Flows in You,The Beatles,56,Korean,Depression Support,Medium,Yes,Classical,6:30,Yes
226,A Sky Full of Stars,The Beatles,68,Hindi,Period Pain Relief,High,Yes,Acoustic,8:26,Partial
227,Shape of You,Coldplay,150,Korean,Anxiety Relief,Low,No,Classical,5:23,Partial
228,Let It Be,Arijit Singh,123,Korean,Mood Boost,Low,No,Pop,4:08,No
229,Tum Hi Ho,Marconi Union,167,Tamil,Anxiety Relief,Medium,No,Lo-fi,4:40,Yes
230,A Sky Full of Stars,Billie Eilish,153,Hindi,Stress Relief,Medium,No,Devotional,6:44,No
231,Shape of You,Adele,95,Korean,Stress Relief,Low,Yes,Pop,2:58,Yes
232,Shallow,The Weeknd,138,Tamil,Mood Boost,High,No,Pop,8:35,Partial
233,Tum Hi Ho,Lady Gaga,62,Korean,Sleep Aid,High,No,Lo-fi,5:04,No
234,Lovely,Lady Gaga,130,Korean,Depression Support,Medium,Yes,Lo-fi,6:07,No
235,Let It Be,Imagine Dragons,89,Instrumental,Sleep Aid,High,No,Lo-fi,6:14,No
236,Ocean Eyes,Adele,140,Instrumental,Stress Relief,Low,Yes,Devotional,2:31,Partial
237,Nuvole Bianche,Coldplay,74,Instrumental,Stress Relief,High,Yes,Classical,5:21,Yes
238,Weightless,Post Malone,71,English,Stress Relief,Low,No,Devotional,5:17,Yes
239,Weightless,The Weeknd,66,Hindi,Sleep Aid,High,Yes,Classical,2:43,Partial
240,Happy,Pharrell Williams,150,Tamil,Mood Boost,Low,No,Acoustic,4:46,Partial
241,Sunflower,Coldplay,59,English,Depression Support,Low,Yes,Classical,3:43,Yes
242,Shape of You,Marconi Union,110,Korean,Mood Boost,High,Yes,Ambient,6:14,No
243,Perfect,Marconi Union,116,Korean,Sleep Aid,Medium,Yes,Classical,8:02,Partial
244,Let It Be,Imagine Dragons,63,Tamil,Period Pain Relief,High,Yes,Devotional,2:16,Yes
245,Hallelujah,The Weeknd,104,Korean,Mood Boost,Medium,Yes,Lo-fi,5:04,Partial
246,A Sky Full of Stars,Arijit Singh,51,Tamil,Depression Support,Low,No,Devotional,8:48,Yes
247,Let It Be,The Beatles,82,Instrumental,Sleep Aid,High,Yes,Classical,2:10,No
248,Blinding Lights,Coldplay,147,English,Depression Support,Medium,Yes,Devotional,7:19,Partial
249,Tum Hi Ho,Coldplay,88,English,Anxiety Relief,Low,Yes,Classical,4:06,Partial
250,Blinding Lights,Adele,89,English,Anxiety Relief,Low,No,Classical,8:34,No
251,Lovely,The Weeknd,133,Hindi,Depression Support,Low,Yes,Classical,4:41,Partial
252,Ocean Eyes,Yiruma,64,Tamil,Period Pain Relief,Medium,Yes,Devotional,4:20,Yes
253,Nuvole Bianche,Marconi Union,139,English,Stress Relief,Medium,Yes,Acoustic,2:16,No
254,River Flows in You,The Beatles,77,Hindi,Stress Relief,Medium,Yes,Classical,8:23,Partial
255,Tum Hi Ho,The Weeknd,89,English,Depression Support,High,No,Lo-fi,6:46,Partial
256,Nuvole Bianche,Ed Sheeran,94,Korean,Anxiety Relief,Low,No,Ambient,4:59,Yes
257,Lovely,The Beatles,87,Tamil,Anxiety Relief,Medium,Yes,Pop,3:14,No
258,Ocean Eyes,The Weeknd,110,English,Period Pain Relief,Low,Yes,Classical,8:02,No
259,Let It Be,Yiruma,56,Instrumental,Period Pain Relief,Medium,Yes,Pop,7:21,No
260,Raataan Lambiyan,Pharrell Williams,113,Hindi,Stress Relief,High,No,Lo-fi,5:12,No
261,Shape of You,Pharrell Williams,51,Hindi,Sleep Aid,Low,Yes,Ambient,2:09,No
262,Weightless,A R Rahman,104,Instrumental,Stress Relief,High,Yes,Acoustic,4:16,Yes
263,Nuvole Bianche,Billie Eilish,103,Instrumental,Mood Boost,High,Yes,Pop,8:44,No
264,Hallelujah,Ludovico Einaudi,70,Tamil,Sleep Aid,Medium,Yes,Devotional,6:09,Partial
265,A Sky Full of Stars,Arijit Singh,87,English,Mood Boost,High,No,Ambient,8:14,No
266,Sunflower,Post Malone,127,Tamil,Anxiety Relief,Medium,Yes,Lo-fi,2:54,Yes
267,Believer,Leonard Cohen,137,English,Period Pain Relief,Medium,Yes,Pop,6:40,Yes
268,A Sky Full of Stars,Coldplay,95,Instrumental,Sleep Aid,High,No,Devotional,8:55,No
269,Believer,Lady Gaga,62,Hindi,Anxiety Relief,High,Yes,Acoustic,4:33,Partial
270,Lovely,Yiruma,98,Instrumental,Sleep Aid,Low,No,Ambient,6:58,Partial
271,A Sky Full of Stars,Adele,158,Hindi,Mood Boost,Medium,No,Devotional,8:16,Partial
272,A Sky Full of Stars,Imagine Dragons,79,Korean,Depression Support,High,No,Devotional,2:07,Yes
273,Fix You,Yiruma,85,Tamil,Stress Relief,Low,No,Lo-fi,2:36,Yes
274,Nuvole Bianche,Marconi Union,75,Tamil,Mood Boost,Low,Yes,Lo-fi,6:22,Yes
275,Shallow,Yiruma,95,Tamil,Stress Relief,High,No,Ambient,6:01,No
276,Blinding Lights,Marconi Union,78,Korean,Mood Boost,Medium,No,Acoustic,8:52,No
277,Weightless,Post Malone,112,Tamil,Period Pain Relief,Low,Yes,Lo-fi,3:41,Partial
278,Happy,Yiruma,58,Hindi,Mood Boost,High,No,Classical,7:35,Yes
279,Shallow,Billie Eilish,71,Instrumental,Mood Boost,High,Yes,Classical,5:01,Partial
280,Kun Faya Kun,A R Rahman,140,Hindi,Sleep Aid,Medium,Yes,Devotional,4:37,Yes
